car_reg,purchase_date,county,make,model,type,colour,tax_band,price
201-L-3300,2020-Jan-14,Limerick,toyota,corolla : hatchback,,<colour>Red</colour>,B,31923
201-g-4706,22 Jan,GALWAY,Mercedes : A-Class,,Saloon,BLUE,2,38312
201-l-1715,01 Jan,LIMERICK,Mazda : Mazda6,,Saloon,WHITE,2,36174
XXX-X-878,2019-06-15,Galway,Audi : A4 (Estate),,,red,b,43587
XXX-X-1668,2018-03-22,Waterford,BMW : 5 Series (Estate),,,silver,c,79608
191-w-4577,01 Jan,WATERFORD,Mercedes : C-Class,,Estate,SILVER,2,78953
181-G-796,2018-Jan-25,Galway,opel,crossland x : suv,,<colour>Orange</colour>,A,25811
182-D-4951,2018-Jul-05,,Toyota,Camery,Saloon,White,B,40203
202-L-88,2020-Aug-24,,Opel,Insignia,Hatchback,White,B,37880
182-c-4735,11 Aug,CORK,BMW : 2 series,,Coupe,RED,2,43372
201-l-2548,27 Feb,LIMERICK,Toyota : Rav4,,SUV,BLUE,2,44507
181-l-4820,19 Jan,LIMERICK,Toyota : Yaris,,Hatchback,RED,1,16325
181-W-878,2018-Jan-07,,Opel,Astra,Estate,Orange,B,29825
191-D-2509,2019-Jan-18,,Opel,Insignia,Hatchback,White,B,35496
XXX-X-4680,2018-03-07,Cork,Opel : Crossland X (SUV),,,white,a,26295
XXX-X-1938,2020-01-02,Cork,BMW : X3 (SUV),,,white,c,119998
XXX-X-1140,2019-02-07,Dublin,Mazda : CX-5 (SUV),,,white,b,37987
202-C-382,2020-Jul-12,,ford,FIESTA,Hatchback,#FF0000,A,27370
202-D-4028,2020-Jul-12,,Opel,Astra,Hatchback,Red,A,24739
XXX-X-3555,2018-09-03,Waterford,Mercedes : AMG-GT (Hatchback),,,blue,d,181266
191-l-633,03 Apr,LIMERICK,Audi : A4,,Estate,SILVER,2,47573
182-w-225,18 Jul,WATERFORD,BMW : 3 Series,,Saloon,WHITE,2,55595
181-D-1743,2018-Mar-09,,Toyota,Rav4,SUV,White,B,40343
201-L-2742,2020-Mar-13,,Toyota,Prius,Hatchback,Silver,B,36769
191-G-201,2019-Jan-05,,Ford,Fiesta,Hatchback,Red,A,26988
201-D-2449,2020-Apr-12,,ford,FIESTA,Hatchback,#FFFFFF,A,21581
201-d-4551,20 Mar,DUBLIN,Mercedes : GLC-Class,,SUV,WHITE,3,48087
202-C-3670,2020-Nov-22,Cork,ford,mondeo : saloon,,<colour>Silver</colour>,B,39359
182-d-2468,23 Jul,DUBLIN,Ford : Focus,,Hatchback,SILVER,1,32896
192-C-1890,2019-Jul-02,,Mercedes,A-Class,Hatchback,White,B,44598
192-C-486,2019-Jul-09,,mazda,MAZDA3,Saloon,#FF0000,B,35342
XXX-X-4949,2018-03-15,Cork,Toyota : Corolla (Hatchback),,,white,b,27697
192-D-1091,2019-Sep-17,,Opel,Grandland X,SUV,Red,B,43797
181-D-3576,2018-Jan-19,,Toyota,Corolla,Hatchback,Silver,B,32386
192-L-2597,2019-Jul-17,,Mercedes,A-Class,Hatchback,White,B,50026
182-D-4645,2018-Jul-09,,Toyota,Yaris,Hatchback,White,A,17255
201-w-496,11 Jan,WATERFORD,Audi : Q3,,SUV,SILVER,2,47559
191-c-3065,19 Mar,CORK,Audi : A4,,Saloon,ORANGE,2,56449
191-c-46,23 Jan,CORK,Mazda : CX-5,,SUV,WHITE,2,42056
202-C-1408,2020-Jul-01,,Toyota,Rav4,SUV,White,B,44739
191-D-2424,2019-Jan-09,,Mercedes,A-Class,Hatchback,Blue,B,33449
192-w-2230,25 Jul,WATERFORD,Mercedes : A-Class,,Saloon,WHITE,2,50429
202-G-4230,2020-Sep-07,,Opel,Astra,Estate,White,B,28400
191-D-2810,2019-Mar-10,Dublin,audi,a4 : estate,,<colour>White</colour>,B,40584
201-L-948,2020-Mar-06,Limerick,audi,a6 : saloon,,<colour>White</colour>,C,67574
191-D-508,2019-Jan-08,,mercedes,AMG-GT,Hatchback,#0000FF,D,188663
XXX-X-2141,2020-01-26,Cork,Toyota : Camery (Saloon),,,white,b,40527
191-d-1136,10 Feb,DUBLIN,Toyota : Camery,,Saloon,SILVER,2,41027
201-G-1638,2020-Jan-10,,BMW,2 series,Coupe,White,B,36738
XXX-X-364,2018-03-13,Dublin,Mazda : Mazda3 (Saloon),,,white,b,35276
XXX-X-3905,2020-03-16,Limerick,Mercedes : C-Class (Estate),,,silver,b,96283
191-D-4112,2019-May-06,,Ford,Focus,Estate,Blue,A,39357
181-C-1079,2018-Jan-21,,Toyota,Rav4,SUV,Silver,B,44300
182-c-3225,27 Aug,CORK,Mercedes : A-Class,,Saloon,WHITE,2,52770
XXX-X-3129,2019-01-08,Galway,Toyota : Prius (Hatchback),,,silver,b,34736
202-C-3031,2020-Jul-27,,Toyota,Corolla,Hatchback,Silver,B,33448
XXX-X-2673,2020-01-04,Cork,Mercedes : A-Class (Saloon),,,silver,b,45354
191-g-2639,08 Jan,GALWAY,Opel : Astra,,Hatchback,WHITE,1,25918
182-D-2055,2018-Jul-04,Dublin,opel,grandland x : suv,,<colour>White</colour>,B,35437
181-G-26,2018-Jan-10,,Mazda,CX-30,SUV,White,B,32521
181-D-4963,2018-Feb-19,,Mazda,CX-5,SUV,Silver,B,39237
192-C-688,2019-Nov-11,,BMW,3 Series,Estate,Blue,B,70830
201-C-3848,2020-Jan-05,Cork,mazda,mazda6 : saloon,,<colour>Blue</colour>,B,41019
XXX-X-425,2019-07-18,Dublin,Ford : Mondeo (Hatchback),,,blue,b,33522
181-W-2705,2018-Jan-18,,mercedes,A-CLASS,Saloon,#FF0000,B,55738
182-D-267,2018-Jul-13,,mazda,MAZDA3,Hatchback,#0000FF,B,32041
182-g-288,19 Oct,GALWAY,Ford : Focus,,Estate,BLUE,1,24285
181-D-2455,2018-Apr-15,,Toyota,Corolla,Hatchback,Blue,B,30117
202-C-1149,2020-Aug-21,,Ford,Focus,Hatchback,Silver,A,38795
191-C-1859,2019-Jan-17,,Opel,Insignia,Hatchback,Silver,B,38943
192-d-2431,21 Oct,DUBLIN,Opel : Corsa,,Hatchback,BLUE,1,24431
182-C-901,2018-Sep-14,Cork,mazda,mazda6 : estate,,<colour>Red</colour>,B,39410
XXX-X-4230,2019-02-20,Limerick,Toyota : Prius (Hatchback),,,white,b,36644
XXX-X-2691,2019-01-05,Cork,Toyota : Yaris (Hatchback),,,red,a,17745
181-D-3942,2018-Jan-12,,opel,CORSA,Hatchback,#FF0000,A,21718
201-C-488,2020-Feb-22,Cork,opel,insignia : hatchback,,<colour>White</colour>,B,33456
181-D-3643,2018-May-16,,opel,CORSA,Hatchback,#0000FF,A,21014
182-D-1937,2018-Aug-13,,ford,FOCUS,Estate,#FFA500,A,41600
202-L-3798,2020-Oct-19,,toyota,YARIS,Hatchback,#FF0000,A,16592
XXX-X-3193,2020-01-14,Dublin,Mercedes : A-Class (Hatchback),,,blue,b,44350
202-L-3244,2020-Jul-05,,mazda,MAZDA6,Estate,#FF0000,B,41360
XXX-X-1050,2019-01-07,Dublin,Opel : Astra (Estate),,,white,b,28115
XXX-X-2251,2019-01-06,Dublin,Opel : Grandland X (SUV),,,red,b,29846
191-d-3976,05 Jan,DUBLIN,Mercedes : GLC-Class,,SUV,WHITE,3,97746
XXX-X-3964,2020-04-11,Galway,BMW : 5 Series (Estate),,,blue,c,76674
192-C-2442,2019-Oct-04,,opel,ASTRA,Estate,#FF0000,B,28810
XXX-X-348,2020-04-02,Dublin,BMW : 3 Series (Saloon),,,white,b,40643
XXX-X-917,2018-07-13,Waterford,Toyota : Corolla (Hatchback),,,silver,b,29430
XXX-X-4972,2020-01-25,Dublin,Toyota : Rav4 (SUV),,,blue,b,46250
202-d-3601,24 Jul,DUBLIN,Toyota : Rav4,,SUV,BLUE,2,42173
191-d-2360,05 Jan,DUBLIN,Mercedes : C-Class,,Saloon,BLUE,2,84408
192-W-4587,2019-Jul-14,,Mercedes,C-Class,Saloon,White,B,72703
181-D-873,2018-Jan-14,,Opel,Astra,Hatchback,White,A,32508
192-G-525,2019-Oct-24,,Toyota,Yaris,Hatchback,Red,A,16358
181-L-3697,2018-Mar-01,,Audi,A4,Estate,White,B,46521
201-c-2623,21 Feb,CORK,Opel : Astra,,Hatchback,WHITE,1,29444
201-c-4908,19 Feb,CORK,Ford : Focus,,Hatchback,WHITE,1,36416
201-G-90,2020-Jan-05,Galway,toyota,prius : hatchback,,<colour>Silver</colour>,B,34844
XXX-X-4239,2018-01-03,Limerick,Mazda : CX-5 (SUV),,,red,b,42876
191-G-52,2019-Mar-11,,Opel,Astra,Hatchback,Silver,A,32956
XXX-X-2878,2019-05-21,Limerick,Toyota : Yaris (Hatchback),,,white,a,15936
XXX-X-1524,2018-02-06,Dublin,Mazda : Mazda3 (Saloon),,,white,b,31953
XXX-X-4868,2019-07-19,Waterford,Ford : Focus (Estate),,,orange,a,29076
XXX-X-2665,2020-04-04,Cork,Toyota : Corolla (Saloon),,,white,b,30720
XXX-X-2505,2018-03-18,Dublin,Ford : Mondeo (Saloon),,,red,b,34897
XXX-X-4316,2020-06-08,Dublin,Ford : Mondeo (Saloon),,,white,b,38105
191-W-2417,2019-Mar-04,Waterford,opel,corsa : hatchback,,<colour>Blue</colour>,A,22668
191-d-39,02 Jan,DUBLIN,Mazda : Mazda3,,Hatchback,WHITE,2,28337
182-L-3957,2018-Sep-21,,Mazda,Mazda6,Saloon,Red,B,35741
191-G-4692,2019-Jan-06,,Ford,Fiesta,Hatchback,Red,A,19452
202-D-3105,2020-Sep-19,Dublin,bmw,2 series : coupe,,<colour>Silver</colour>,B,99316
181-w-2474,14 Jan,WATERFORD,Mazda : Mazda6,,Estate,RED,2,37747
191-l-2177,19 Jan,LIMERICK,Toyota : Prius,,Hatchback,WHITE,2,34134
XXX-X-108,2018-09-12,Cork,Opel : Crossland X (SUV),,,silver,a,23651
201-G-2170,2020-Feb-08,,Ford,Mondeo,Saloon,Red,B,39102
191-G-1992,2019-Jan-18,,mercedes,AMG-GT,Hatchback,#FF0000,D,197468
191-w-4957,05 Jan,WATERFORD,Audi : A6,,Estate,WHITE,3,67184
XXX-X-4006,2019-11-16,Cork,Audi : A6 (Saloon),,,red,c,85665
201-C-4730,2020-Feb-18,,BMW,3 Series,Hatchback,Silver,C,49362
191-C-2803,2019-Jan-23,,Ford,Fiesta,Hatchback,White,A,26042
XXX-X-1543,2018-01-08,Dublin,Opel : Crossland X (SUV),,,white,a,22904
201-W-3788,2020-Jan-22,,Toyota,Prius,Hatchback,White,B,34509
182-c-168,04 Jul,CORK,Toyota : Yaris,,Hatchback,WHITE,1,15912
191-C-1671,2019-Feb-22,Cork,mercedes,c-class : saloon,,<colour>Blue</colour>,B,84776
181-C-4443,2018-Mar-16,,Mercedes,C-Class,Saloon,Blue,B,116838
201-W-3642,2020-Feb-16,Waterford,ford,focus : estate,,<colour>Silver</colour>,A,26890
181-C-3805,2018-Jan-18,,ford,FOCUS,Estate,#C0C0C0,A,34656
XXX-X-2114,2020-10-12,Limerick,Mercedes : C-Class (Saloon),,,white,b,89129
181-g-3135,21 Apr,GALWAY,Opel : Corsa,,Hatchback,RED,1,17587
181-L-3267,2018-Jun-11,,Mazda,CX-30,SUV,Silver,B,39501
192-L-4795,2019-Aug-04,,ford,MUSTANG,Coupe,#FF0000,C,52788
202-C-3450,2020-Nov-16,Cork,audi,a6 : estate,,<colour>Silver</colour>,C,61013
191-D-3189,2019-Jan-13,Dublin,opel,grandland x : suv,,<colour>Silver</colour>,B,36619
181-D-3653,2018-Mar-02,,Ford,Mondeo,Hatchback,White,B,35667
201-G-778,2020-Jun-13,,bmw,3 SERIES,Hatchback,#FFFFFF,C,53055
201-G-1136,2020-Jan-05,Galway,mazda,mazda3 : hatchback,,<colour>White</colour>,B,30854
202-d-4473,17 Oct,DUBLIN,Ford : Fiesta,,Hatchback,RED,1,19144
181-L-1432,2018-Mar-09,,BMW,5 Series,Estate,White,C,77945
192-d-2339,18 Nov,DUBLIN,Opel : Astra,,Estate,SILVER,2,27410
XXX-X-2810,2019-01-21,Galway,Mazda : Mazda6 (Saloon),,,red,b,34680
XXX-X-4092,2019-01-06,Dublin,Mercedes : GLC-Class (SUV),,,white,c,80642
XXX-X-1226,2018-06-27,Galway,Ford : Kuga (SUV),,,white,b,37948
201-C-4065,2020-Mar-07,,Ford,Focus,Estate,White,A,28437
191-l-2250,19 Jan,LIMERICK,Mazda : Mazda3,,Saloon,BLUE,2,30232
201-W-2094,2020-May-25,Waterford,audi,a4 : saloon,,<colour>White</colour>,B,47971
181-C-203,2018-Jan-20,,Mazda,Mazda3,Saloon,Orange,B,35945
201-d-3048,26 Jan,DUBLIN,Audi : Q7,,SUV,BLUE,4,85776
181-D-1990,2018-Apr-06,,opel,CROSSLAND X,SUV,#0000FF,A,26176
181-C-4615,2018-Feb-07,Cork,mercedes,a-class : hatchback,,<colour>White</colour>,B,62471
XXX-X-3611,2020-02-15,Galway,Mazda : Mazda6 (Estate),,,white,b,43342
201-d-428,24 Feb,DUBLIN,BMW : X3,,SUV,WHITE,3,125871
191-d-2742,17 Mar,DUBLIN,Mercedes : C-Class,,Estate,WHITE,2,106937
201-d-1654,21 Jan,DUBLIN,Audi : A4,,Saloon,ORANGE,2,51371
191-C-2485,2019-Feb-21,Cork,mercedes,a-class : hatchback,,<colour>Red</colour>,B,37123
XXX-X-3681,2020-02-13,Cork,Mazda : Mazda3 (Saloon),,,red,b,30417
XXX-X-1423,2018-05-16,Dublin,BMW : 3 Series (Saloon),,,white,b,68183
201-D-4021,2020-Jan-04,Dublin,mercedes,a-class : hatchback,,<colour>Red</colour>,B,60977
201-C-4216,2020-Mar-21,,Mercedes,A-Class,Saloon,White,B,42578
182-g-3512,19 Oct,GALWAY,Toyota : Rav4,,SUV,RED,2,42408
182-w-3811,27 Jul,WATERFORD,Toyota : Yaris,,Hatchback,RED,1,18045
201-C-2459,2020-Apr-21,Cork,opel,astra : hatchback,,<colour>White</colour>,A,30512
XXX-X-1555,2018-04-23,Cork,BMW : 5 Series (Estate),,,silver,c,64881
201-d-1678,16 Jan,DUBLIN,Mercedes : A-Class,,Saloon,RED,2,59953
201-W-288,2020-Jan-15,,bmw,3 SERIES,Estate,#FFFFFF,B,74910
191-D-3700,2019-Apr-25,,mazda,MAZDA3,Saloon,#FFA500,B,35137
201-G-1144,2020-May-23,Galway,toyota,camery : saloon,,<colour>White</colour>,B,40528
181-D-289,2018-Jan-22,,opel,ASTRA,Hatchback,#FF0000,A,32098
181-G-2337,2018-Mar-24,,mazda,MAZDA6,Estate,#FFFFFF,B,38134
201-d-605,08 Feb,DUBLIN,BMW : X3,,SUV,WHITE,3,89104
XXX-X-3542,2020-02-26,Dublin,Toyota : Prius (Hatchback),,,white,b,36513
181-C-3444,2018-Feb-23,,BMW,7 Series,Saloon,Red,D,213797
191-c-2340,09 Jan,CORK,Toyota : Rav4,,SUV,BLUE,2,42749
202-d-50,07 Jul,DUBLIN,Opel : Corsa,,Hatchback,WHITE,1,17170
202-W-4759,2020-Jul-25,Waterford,audi,a4 : saloon,,<colour>Red</colour>,B,51922
181-G-2234,2018-Feb-08,Galway,audi,q7 : suv,,<colour>White</colour>,D,116999
XXX-X-2149,2020-01-07,Dublin,Mazda : Mazda3 (Hatchback),,,white,b,30421
181-c-1116,20 Apr,CORK,Opel : Corsa,,Hatchback,RED,1,24767
202-G-706,2020-Jul-16,,Mercedes,C-Class,Saloon,White,B,68814
191-d-1326,23 Feb,DUBLIN,Ford : Focus,,Hatchback,SILVER,1,23000
192-D-3833,2019-Jul-21,,Opel,Astra,Estate,Red,B,27770
XXX-X-702,2019-02-09,Galway,Toyota : Corolla (Saloon),,,white,b,30339
201-D-78,2020-Jan-25,Dublin,mercedes,a-class : hatchback,,<colour>Silver</colour>,B,62382
201-D-3238,2020-Jan-25,,Opel,Insignia,Hatchback,Silver,B,33956
192-d-3727,19 Jul,DUBLIN,Opel : Crossland X,,SUV,RED,1,22858
192-d-3358,25 Aug,DUBLIN,Mazda : Mazda3,,Saloon,SILVER,2,32368
201-D-4444,2020-Jan-21,Dublin,audi,a6 : estate,,<colour>White</colour>,C,95745
191-D-4420,2019-Jan-09,,BMW,5 Series,Estate,White,C,82768
XXX-X-343,2018-03-04,Cork,Toyota : Camery (Saloon),,,red,b,39832
201-W-2096,2020-Mar-20,,BMW,7 Series,Saloon,White,D,127425
182-D-926,2018-Jul-27,Dublin,toyota,prius : hatchback,,<colour>Red</colour>,B,36249
181-D-1959,2018-Jan-21,,BMW,3 Series,Saloon,Blue,B,51289
201-D-1870,2020-Mar-20,,Audi,A4,Estate,White,B,49474
XXX-X-4324,2020-01-27,Galway,Mazda : Mazda3 (Hatchback),,,orange,b,33976
XXX-X-558,2018-01-06,Dublin,Mercedes : A-Class (Hatchback),,,red,b,31058
201-d-3072,10 Mar,DUBLIN,Toyota : Camery,,Saloon,WHITE,2,39526
181-D-2473,2018-Jan-21,Dublin,bmw,3 series : hatchback,,<colour>Blue</colour>,C,60824
201-D-516,2020-Feb-10,Dublin,audi,a4 : estate,,<colour>Red</colour>,B,45204
XXX-X-4432,2020-01-13,Cork,BMW : 3 Series (Estate),,,white,b,63842
XXX-X-2617,2018-03-19,Cork,Mazda : Mazda3 (Hatchback),,,blue,b,28723
XXX-X-918,2020-04-19,Limerick,Ford : Mondeo (Saloon),,,white,b,36224
182-W-2580,2018-Jul-06,Waterford,mercedes,c-class : saloon,,<colour>Blue</colour>,B,116174
XXX-X-4649,2020-07-04,Cork,Mazda : CX-5 (SUV),,,blue,b,51631
181-G-2101,2018-Jan-23,Galway,mercedes,c-class : saloon,,<colour>White</colour>,B,108915
XXX-X-3959,2020-09-27,Dublin,Opel : Astra (Hatchback),,,white,a,32275
191-G-3861,2019-Mar-24,,ford,MUSTANG,Coupe,#0000FF,C,51953
201-L-3861,2020-Mar-03,,bmw,7 SERIES,Saloon,#0000FF,D,236545
181-G-3918,2018-Jan-23,,Audi,A4,Estate,White,B,42264
201-C-194,2020-Jan-26,,Ford,Kuga,SUV,Blue,B,33762
191-W-2770,2019-Feb-23,Waterford,mercedes,c-class : saloon,,<colour>White</colour>,B,88613
181-D-4615,2018-Jan-05,Dublin,opel,astra : hatchback,,<colour>Silver</colour>,A,27743
191-D-2680,2019-Feb-04,,opel,CROSSLAND X,SUV,#FF0000,A,25765
202-W-4144,2020-Jul-23,,Mercedes,C-Class,Saloon,Silver,B,113011
201-d-2916,26 Apr,DUBLIN,Mazda : Mazda3,,Hatchback,SILVER,2,28879
XXX-X-2897,2019-07-12,Dublin,Mazda : Mazda6 (Saloon),,,red,b,44008
XXX-X-2594,2020-03-04,Dublin,Mercedes : AMG-GT (Hatchback),,,silver,d,209849
201-G-352,2020-Jan-16,,Audi,Q3,SUV,Red,B,40526
XXX-X-956,2019-07-10,Limerick,Audi : A6 (Saloon),,,blue,c,82112
201-G-2381,2020-Jan-20,Galway,mazda,mazda6 : estate,,<colour>Silver</colour>,B,36212
201-g-3992,14 Jan,GALWAY,Ford : Mondeo,,Hatchback,ORANGE,2,31331
181-C-4034,2018-Jan-20,,Ford,Fiesta,Hatchback,Silver,A,26477
XXX-X-4128,2020-01-26,Waterford,Audi : A6 (Saloon),,,blue,c,76811
201-D-360,2020-Jan-02,,BMW,3 Series,Hatchback,White,C,59512
182-l-2015,11 Aug,LIMERICK,Ford : Kuga,,SUV,WHITE,2,42922
191-D-1580,2019-Apr-01,,mazda,CX-5,SUV,#FFFFFF,B,31346
201-D-57,2020-Mar-24,,Mercedes,A-Class,Hatchback,Blue,B,57459
201-W-2485,2020-Jan-03,,Ford,Mondeo,Saloon,White,B,38755
182-D-2858,2018-Jul-07,,Ford,Focus,Hatchback,White,A,39628
182-d-2868,09 Aug,DUBLIN,Audi : A4,,Saloon,SILVER,2,46269
XXX-X-1293,2019-07-09,Dublin,Toyota : Prius (Hatchback),,,blue,b,34029
201-C-2420,2020-Mar-04,,ford,FIESTA,Hatchback,#C0C0C0,A,20954
XXX-X-4424,2018-07-14,Waterford,Mazda : Mazda6 (Estate),,,blue,b,41806
181-L-2250,2018-Jan-17,Limerick,opel,crossland x : suv,,<colour>White</colour>,A,23560
202-c-3318,22 Sep,CORK,Mazda : CX-30,,SUV,WHITE,2,41832
181-c-2334,03 May,CORK,Toyota : Prius,,Hatchback,WHITE,2,34854
182-G-2061,2018-Sep-22,Galway,ford,mustang : coupe,,<colour>White</colour>,C,51966
191-l-2144,23 Jan,LIMERICK,Audi : A4,,Estate,SILVER,2,50418
XXX-X-979,2019-01-01,Limerick,BMW : 2 series (Coupe),,,white,b,66316
XXX-X-589,2020-04-02,Galway,Toyota : Rav4 (SUV),,,silver,b,41398
181-d-2254,13 Jan,DUBLIN,Opel : Corsa,,Hatchback,WHITE,1,18313
201-G-3787,2020-Jan-05,,mazda,CX-5,SUV,#0000FF,B,49518
181-d-4304,04 Jan,DUBLIN,Mazda : CX-30,,SUV,RED,2,43065
XXX-X-2900,2019-01-13,Cork,Ford : Focus (Estate),,,white,a,43061
201-D-369,2020-Mar-18,,BMW,2 series,Coupe,White,B,90464
191-G-3562,2019-Feb-06,,audi,A4,Estate,#FFFFFF,B,47522
XXX-X-531,2019-07-07,Cork,Opel : Crossland X (SUV),,,white,a,27327
191-W-100,2019-Feb-13,,audi,A6,Saloon,#FFFFFF,C,84343
201-L-2928,2020-Feb-06,,mercedes,A-CLASS,Hatchback,#C0C0C0,B,34879
XXX-X-1962,2020-01-16,Dublin,Mercedes : C-Class (Saloon),,,blue,b,81993
191-D-4910,2019-Mar-03,,toyota,RAV4,SUV,#C0C0C0,B,40329
202-L-4515,2020-Jul-21,,ford,FOCUS,Estate,#FFFFFF,A,42116
181-w-1124,19 Mar,WATERFORD,Mazda : Mazda6,,Estate,BLUE,2,41817
181-g-469,23 Jan,GALWAY,Ford : Focus,,Estate,WHITE,1,44729
191-G-4509,2019-Mar-20,Galway,audi,a6 : estate,,<colour>Orange</colour>,C,60351
XXX-X-3107,2018-01-05,Cork,Mazda : CX-5 (SUV),,,white,b,38812
191-G-1104,2019-Feb-08,,toyota,YARIS,Hatchback,#C0C0C0,A,16680
181-w-1350,26 Apr,WATERFORD,BMW : 3 Series,,Estate,RED,2,56927
181-L-2294,2018-May-08,,Mercedes,A-Class,Saloon,White,B,57824
XXX-X-4716,2019-07-15,Cork,Toyota : Prius (Hatchback),,,white,b,34255
191-C-336,2019-Mar-09,,Ford,Mustang,Coupe,White,C,54095
202-D-4145,2020-Jul-10,,Audi,Q3,SUV,White,B,50108
191-W-1925,2019-Mar-07,,Toyota,Yaris,Hatchback,Silver,A,16462
182-D-1478,2018-Jul-24,Dublin,audi,a6 : saloon,,<colour>White</colour>,C,73538
XXX-X-2062,2019-07-01,Dublin,Ford : Kuga (SUV),,,red,b,41672
XXX-X-3994,2019-02-27,Cork,Audi : A4 (Saloon),,,white,b,51670
201-D-1813,2020-Jan-10,Dublin,mazda,cx-5 : suv,,<colour>White</colour>,B,35705
182-C-1749,2018-Jul-10,,Audi,A6,Estate,Silver,C,88428
181-W-4534,2018-Mar-27,Waterford,ford,mustang : coupe,,<colour>Silver</colour>,C,72157
201-C-4175,2020-Jan-07,,Mercedes,A-Class,Saloon,White,B,63326
191-c-384,03 Feb,CORK,Ford : Mondeo,,Saloon,WHITE,2,39874
XXX-X-3985,2020-02-04,Limerick,Mercedes : C-Class (Estate),,,orange,b,55700
191-D-277,2019-Feb-24,Dublin,toyota,prius : hatchback,,<colour>Blue</colour>,B,34567
181-d-4366,12 Jan,DUBLIN,Opel : Crossland X,,SUV,SILVER,1,27043
XXX-X-2310,2019-07-10,Dublin,Mercedes : AMG-GT (Hatchback),,,blue,d,165727
191-d-3158,14 Jun,DUBLIN,BMW : 3 Series,,Saloon,RED,2,49322
192-d-2551,19 Jul,DUBLIN,Ford : Fiesta,,Hatchback,ORANGE,1,20475
201-L-2193,2020-Jan-15,,toyota,COROLLA,Hatchback,#FFFFFF,B,28056
201-g-1450,21 Mar,GALWAY,Audi : A6,,Estate,SILVER,3,84265
191-L-155,2019-Feb-25,,Toyota,Yaris,Hatchback,Silver,A,19579
182-g-2688,14 Jul,GALWAY,BMW : 3 Series,,Estate,BLUE,2,55972
181-l-1706,04 Jan,LIMERICK,Opel : Astra,,Estate,RED,2,26732
182-c-2363,22 Jul,CORK,BMW : 3 Series,,Hatchback,RED,3,64915
XXX-X-2640,2018-03-01,Dublin,Toyota : Corolla (Saloon),,,white,b,28885
201-D-1033,2020-Jan-02,,Opel,Astra,Estate,White,B,28931
182-c-3913,06 Jul,CORK,Opel : Astra,,Hatchback,BLUE,1,28975
XXX-X-2377,2018-02-22,Dublin,Toyota : Prius (Hatchback),,,white,b,34098
181-L-769,2018-Feb-14,,Mercedes,GLC-Class,SUV,Blue,C,60173
201-W-4438,2020-Feb-18,,Mazda,Mazda3,Saloon,White,B,31531
XXX-X-1275,2019-01-01,Dublin,Opel : Astra (Hatchback),,,white,a,27984
201-D-821,2020-Jan-16,,Opel,Astra,Estate,Blue,B,29123
201-c-3455,12 Mar,CORK,Mazda : Mazda3,,Saloon,RED,2,30588
XXX-X-1873,2020-02-16,Dublin,Opel : Astra (Hatchback),,,white,a,27662
XXX-X-23,2018-01-08,Waterford,Ford : Focus (Hatchback),,,red,a,28160
191-G-3212,2019-Jan-04,Galway,bmw,2 series : coupe,,<colour>White</colour>,B,114214
202-D-3276,2020-Oct-20,Dublin,toyota,yaris : hatchback,,<colour>White</colour>,A,16133
201-d-983,23 Jan,DUBLIN,Mercedes : C-Class,,Saloon,ORANGE,2,82923
202-g-2893,26 Jul,GALWAY,Mazda : Mazda6,,Saloon,WHITE,2,46639
XXX-X-3950,2019-01-13,Limerick,Mercedes : C-Class (Estate),,,white,b,125094
192-C-3826,2019-Jul-14,Cork,opel,crossland x : suv,,<colour>Silver</colour>,A,23744
XXX-X-2564,2019-02-11,Dublin,Audi : A6 (Saloon),,,blue,c,53429
XXX-X-10,2019-03-07,Dublin,Ford : Mondeo (Hatchback),,,blue,b,36647
191-d-4171,21 Jan,DUBLIN,Toyota : Rav4,,SUV,WHITE,2,45985
181-C-279,2018-Jan-09,,Audi,Q3,SUV,Silver,B,42004
XXX-X-3086,2019-08-17,Waterford,Ford : Fiesta (Hatchback),,,blue,a,24581
182-D-3576,2018-Jul-09,,Toyota,Prius,Hatchback,Silver,B,34244
XXX-X-3800,2018-01-22,Dublin,Mazda : Mazda6 (Estate),,,red,b,39561
201-d-4039,03 Jan,DUBLIN,Toyota : Camery,,Saloon,BLUE,2,39891
201-W-231,2020-Jan-13,Waterford,mazda,mazda6 : estate,,<colour>White</colour>,B,36417
191-W-4034,2019-Jan-19,,Mercedes,A-Class,Hatchback,White,B,59357
182-L-2031,2018-Oct-10,,toyota,RAV4,SUV,#0000FF,B,37058
201-g-1852,21 May,GALWAY,Ford : Mondeo,,Hatchback,WHITE,2,33908
XXX-X-1198,2018-01-10,Cork,BMW : 3 Series (Saloon),,,red,b,59601
191-L-4316,2019-Feb-22,Limerick,ford,focus : estate,,<colour>Red</colour>,A,45101
192-D-4639,2019-Sep-01,,Mercedes,GLC-Class,SUV,Orange,C,117431
191-G-466,2019-Apr-22,Galway,bmw,2 series : coupe,,<colour>Blue</colour>,B,52724
191-L-1300,2019-Mar-07,Limerick,ford,mustang : coupe,,<colour>Orange</colour>,C,52205
181-w-4096,04 Jan,WATERFORD,Toyota : Yaris,,Hatchback,BLUE,1,18477
XXX-X-2062,2018-01-09,Dublin,Mazda : CX-5 (SUV),,,silver,b,41348
191-d-3704,09 Jan,DUBLIN,Ford : Mondeo,,Hatchback,RED,2,37261
182-d-714,06 Jul,DUBLIN,Mercedes : C-Class,,Estate,RED,2,61998
